Operating Revenue ID	Local Government Operating Revenue	State Government Operating Revenue	Federal Government Operating Revenue	Other Operating Revenue
962	1747078	365615	0	35014
963	175580	41490	0	27663
964	176910	59880	0	39550
965	176185	31688	0	5989
966	173043	32300	0	541660
967	1324138	280338	0	40
968	2129328	330431	0	15423
969	657438	165477	0	17707
970	10456587	1826202	2053	71989
971	5141547	162340	0	168447
972	33748074	1112083	0	514442
973	2512306	676540	0	220266
974	28662701	888331	177985	2092069
975	1904470	1356428	0	0
976	4692695	139670	0	129229
977	14801276	448604	0	706180
978	53974284	1772181	707108	1778912
979	326410	0	24925	8200
980	566563	14459	0	7502
981	578964	14267	0	0
982	2784558	82935	0	150148
983	1996336	532507	0	0
984	6918613	220627	0	463423
985	505092	172922	0	1057
986	412504	0	0	0
987	1193914	34638	0	102556
988	769553	20068	0	3158
989	29401654	1961537	0	1066689
990	95536	2084	0	3047
991	996825	28523	0	108900
992	358209	380591	0	29526
993	342278	110442	400	163881
994	33074197	971587	0	994456
995	3218746	92962	0	0
996	7129749	211535	0	192108
997	1358581	34464	0	19180
998	24597736	674397	0	1080053
999	1485203	45979	0	132234
1000	6511799	178220	47108	97
1001	5798011	168268	0	355279
1002	3694810	82547	0	576092
1003	2910128	82187	0	58911
1004	565882	18159	0	37088
1005	1914560	75551	0	856979
1006	4106300	0	0	0
1007	708331	19109	0	18474
1008	870713	66065	0	35546
1009	5871056	159607	144351	68807
1010	5258191	135185	0	29731
1011	3477086	91460	0	100152
1012	9813704	269890	0	397689
1013	397137	10817	0	0
1014	5526387	184821	0	114473
1015	12971602	452458	3005	1102578
1016	697823	17782	0	30782
1017	935052	22144	0	6475
1018	1374235	322336	0	59502
1019	4383195	188732	0	395635
1020	216431	9290	0	8940
1021	778702	0	0	14925
1022	27096752	700000	57340	1405749
1023	75724	2058	0	3009
1024	664690	623916	0	224
1025	1142515	861696	0	22279
1026	2100702	552738	0	52498
1027	608613	598595	0	0
1028	749904	631422	0	40011
1029	1268521	927521	0	66936
1030	430986	0	1013	7420
1031	37172462	1129185	0	1125210
1032	2378862	66039	0	58881
